"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"22,7";"22,9";"22,6";"90,0";"90,0";"89,0";"20,9";"21,0";"20,8";"1008,4";"1008,4";"1007,9";"1,0";"68,0";"4,4";"";"0,0"
"01/01/2022";"0100";"22,6";"22,7";"22,5";"90,0";"90,0";"90,0";"20,9";"21,0";"20,8";"1008,3";"1008,4";"1008,2";"1,1";"68,0";"3,0";"";"0,0"
"01/01/2022";"0200";"22,1";"22,6";"22,1";"92,0";"92,0";"90,0";"20,7";"21,0";"20,7";"1007,8";"1008,3";"1007,8";"1,2";"69,0";"2,5";"";"0,0"
"01/01/2022";"0300";"21,8";"22,1";"21,7";"93,0";"93,0";"92,0";"20,6";"20,8";"20,4";"1006,9";"1007,8";"1006,9";"1,2";"295,0";"2,0";"";"0,0"
"01/01/2022";"0400";"21,0";"21,8";"20,8";"93,0";"93,0";"93,0";"19,9";"20,6";"19,7";"1006,2";"1006,9";"1006,2";"0,2";"94,0";"1,7";"";"0,0"
"01/01/2022";"0500";"21,0";"21,1";"20,7";"93,0";"93,0";"93,0";"19,8";"20,0";"19,5";"1005,8";"1006,2";"1005,7";"0,5";"284,0";"2,0";"";"0,0"
"01/01/2022";"0600";"20,5";"21,0";"20,3";"93,0";"93,0";"93,0";"19,3";"19,8";"19,2";"1006,0";"1006,0";"1005,8";"0,4";"41,0";"1,5";"";"0,0"
"01/01/2022";"0700";"20,0";"20,5";"20,0";"93,0";"93,0";"93,0";"18,9";"19,3";"18,9";"1006,5";"1006,5";"1006,0";"1,1";"276,0";"1,5";"";"0,0"
"01/01/2022";"0800";"20,3";"20,5";"20,0";"93,0";"93,0";"93,0";"19,1";"19,3";"18,9";"1007,2";"1007,2";"1006,5";"1,5";"262,0";"2,5";"42,50";"0,0"
"01/01/2022";"0900";"20,9";"21,1";"20,3";"93,0";"93,0";"93,0";"19,7";"19,9";"19,1";"1007,7";"1007,7";"1007,2";"1,4";"300,0";"2,5";"271,30";"0,0"
"01/01/2022";"1000";"21,6";"21,7";"20,9";"93,0";"93,0";"93,0";"20,4";"20,4";"19,7";"1008,2";"1008,2";"1007,7";"0,4";"273,0";"2,1";"598,80";"0,0"
"01/01/2022";"1100";"24,4";"24,6";"21,6";"94,0";"94,0";"93,0";"23,4";"23,5";"20,4";"1008,1";"1008,3";"1008,1";"1,6";"27,0";"2,5";"1634,40";"0,0"
"01/01/2022";"1200";"26,8";"26,9";"24,4";"76,0";"94,0";"75,0";"22,1";"24,3";"21,6";"1007,9";"1008,1";"1007,9";"2,1";"33,0";"4,0";"2891,00";"0,0"
"01/01/2022";"1300";"27,4";"28,7";"26,5";"68,0";"79,0";"63,0";"20,9";"22,9";"20,6";"1007,7";"1008,0";"1007,6";"3,7";"92,0";"6,5";"3454,60";"0,0"
"01/01/2022";"1400";"27,6";"28,0";"26,9";"68,0";"74,0";"66,0";"21,2";"22,3";"20,6";"1007,5";"1007,7";"1007,5";"3,8";"76,0";"6,8";"3793,80";"0,0"
"01/01/2022";"1500";"27,9";"28,3";"27,5";"68,0";"72,0";"65,0";"21,4";"22,3";"20,8";"1007,0";"1007,6";"1007,0";"4,7";"78,0";"8,1";"3799,20";"0,0"
"01/01/2022";"1600";"27,3";"28,3";"26,9";"72,0";"74,0";"67,0";"21,9";"23,0";"21,0";"1006,6";"1007,0";"1006,5";"5,5";"89,0";"8,5";"3579,40";"0,0"
"01/01/2022";"1700";"27,0";"27,7";"26,7";"71,0";"75,0";"70,0";"21,4";"22,4";"21,2";"1006,2";"1006,6";"1006,2";"5,4";"99,0";"9,3";"3325,10";"0,0"
"01/01/2022";"1800";"27,0";"27,5";"26,6";"67,0";"74,0";"66,0";"20,4";"22,0";"20,1";"1006,0";"1006,3";"1006,0";"5,3";"88,0";"9,2";"2807,50";"0,0"
"01/01/2022";"1900";"26,0";"27,3";"26,0";"71,0";"73,0";"64,0";"20,4";"21,3";"19,7";"1005,5";"1006,1";"1005,4";"5,5";"103,0";"8,5";"2057,00";"0,0"
"01/01/2022";"2000";"25,4";"26,3";"25,4";"76,0";"77,0";"72,0";"20,9";"21,7";"20,4";"1005,9";"1005,9";"1005,3";"4,4";"96,0";"8,5";"1175,80";"0,0"
"01/01/2022";"2100";"24,2";"25,4";"24,2";"82,0";"82,0";"76,0";"21,0";"21,2";"20,9";"1006,7";"1006,7";"1005,8";"3,8";"78,0";"7,8";"394,90";"0,0"
"01/01/2022";"2200";"23,3";"24,2";"23,3";"87,0";"87,0";"82,0";"21,0";"21,0";"20,9";"1007,5";"1007,5";"1006,7";"3,9";"90,0";"7,4";"9,40";"0,0"
"01/01/2022";"2300";"22,8";"23,3";"22,7";"89,0";"89,0";"87,0";"20,9";"21,0";"20,9";"1008,3";"1008,3";"1007,5";"1,5";"55,0";"6,6";"";"0,0"
"02/01/2022";"0000";"22,9";"23,0";"22,6";"89,0";"90,0";"89,0";"20,9";"21,1";"20,8";"1009,2";"1009,2";"1008,3";"0,9";"76,0";"3,6";"";"0,0"
"02/01/2022";"0100";"22,7";"23,0";"22,6";"90,0";"90,0";"89,0";"21,1";"21,2";"20,7";"1009,6";"1009,6";"1009,2";"0,5";"103,0";"2,6";"";"0,0"
