"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2021";"0000";"21,9";"72,0";"886,8";"0,0";"0,0";"2,0";"6,60";"29,6";"";""
"01/01/2021";"1200";"24,7";"70,0";"888,3";"0,0";"0,0";"7,5";"";"";"18,7";"0,0"
"01/01/2021";"1800";"22,9";"73,0";"885,7";"0,0";"0,0";"8,8";"";"";"";""
"02/01/2021";"0000";"18,9";"84,0";"887,9";"3,0";"140,0";"10,0";"3,30";"29,4";"";""
"02/01/2021";"1200";"22,0";"69,0";"887,3";"3,0";"140,0";"7,5";"";"";"18,3";"1,4"
"02/01/2021";"1800";"27,4";"50,0";"884,1";"1,0";"140,0";"7,0";"";"";"";""
"03/01/2021";"0000";"20,2";"91,0";"883,9";"0,0";"0,0";"7,5";"7,80";"29,1";"";""
"03/01/2021";"1200";"24,5";"68,0";"884,9";"0,0";"0,0";"1,3";"";"";"18,2";"5,8"
"03/01/2021";"1800";"27,8";"49,0";"882,3";"4,0";"50,0";"8,8";"";"";"";""
"04/01/2021";"0000";"18,3";"90,0";"883,8";"0,0";"0,0";"10,0";"1,20";"25,3";"";""
"04/01/2021";"1200";"19,9";"82,0";"886,5";"0,0";"0,0";"10,0";"";"";"17,8";"31,0"
"04/01/2021";"1800";"24,0";"63,0";"886,3";"1,0";"230,0";"10,0";"";"";"";""
"05/01/2021";"0000";"19,4";"91,0";"";"0,0";"0,0";"3,8";"8,30";"28,1";"";""
"05/01/2021";"1200";"22,6";"69,0";"887,9";"0,0";"0,0";"3,8";"";"";"16,7";"9,8"
"05/01/2021";"1800";"27,6";"49,0";"885,5";"0,0";"0,0";"5,0";"";"";"";""
"06/01/2021";"0000";"23,5";"66,0";"886,2";"0,0";"0,0";"1,3";"9,60";"30,4";"";""
"06/01/2021";"1200";"25,3";"62,0";"888,1";"3,0";"50,0";"2,5";"";"";"18,7";"0,0"
"06/01/2021";"1800";"29,6";"44,0";"884,9";"3,0";"50,0";"6,3";"";"";"";""
"07/01/2021";"0000";"24,2";"71,0";"885,9";"1,0";"140,0";"2,5";"8,00";"29,9";"";""
"07/01/2021";"1200";"24,0";"74,0";"887,3";"3,0";"140,0";"7,0";"";"";"19,9";"0,0"
"07/01/2021";"1800";"28,9";"50,0";"884,3";"3,0";"230,0";"7,0";"";"";"";""
"08/01/2021";"0000";"20,2";"80,0";"887,0";"2,0";"140,0";"7,0";"1,60";"28,9";"";""
"08/01/2021";"1200";"21,6";"79,0";"887,5";"0,0";"0,0";"8,8";"";"";"18,6";"8,0"
"08/01/2021";"1800";"28,1";"49,0";"884,3";"0,0";"0,0";"3,8";"";"";"";""
"09/01/2021";"0000";"22,5";"85,0";"885,7";"0,0";"0,0";"1,3";"8,50";"30,3";"";""
"09/01/2021";"1200";"25,6";"67,0";"886,3";"2,0";"140,0";"3,0";"";"";"18,8";"0,0"
"09/01/2021";"1800";"29,4";"42,0";"882,9";"3,0";"50,0";"6,3";"";"";"";""
"10/01/2021";"0000";"19,7";"93,0";"885,8";"0,0";"0,0";"10,0";"2,20";"27,0";"";""
"10/01/2021";"1200";"23,4";"71,0";"887,1";"0,0";"0,0";"8,8";"";"";"18,8";"32,2"
"10/01/2021";"1800";"24,3";"70,0";"884,5";"0,0";"0,0";"8,8";"";"";"";""
"11/01/2021";"0000";"20,7";"91,0";"885,7";"0,0";"0,0";"7,0";"3,60";"27,7";"";""
"11/01/2021";"1200";"22,2";"78,0";"886,5";"1,0";"320,0";"7,0";"";"";"19,3";"3,8"
"11/01/2021";"1800";"26,1";"64,0";"885,0";"2,0";"320,0";"8,0";"";"";"";""
"12/01/2021";"0000";"21,2";"89,0";"885,7";"2,0";"320,0";"6,0";"3,30";"26,5";"";""
"12/01/2021";"1200";"22,3";"82,0";"887,5";"0,0";"0,0";"8,8";"";"";"19,0";"0,0"
"12/01/2021";"1800";"19,4";"92,0";"885,8";"0,0";"0,0";"10,0";"";"";"";""
"13/01/2021";"0000";"21,5";"87,0";"885,7";"0,0";"0,0";"6,3";"9,40";"28,3";"";""
"13/01/2021";"1200";"23,5";"74,0";"886,2";"0,0";"0,0";"7,5";"";"";"19,4";"11,4"
"13/01/2021";"1800";"27,7";"54,0";"884,2";"3,0";"90,0";"7,5";"";"";"";""
"14/01/2021";"0000";"23,6";"73,0";"884,6";"0,0";"0,0";"1,3";"1,00";"25,5";"";""
"14/01/2021";"1200";"22,5";"77,0";"886,2";"5,0";"320,0";"7,5";"";"";"19,4";"2,8"
"14/01/2021";"1800";"23,3";"78,0";"883,9";"0,0";"0,0";"8,8";"";"";"";""
"15/01/2021";"0000";"20,5";"87,0";"888,5";"0,0";"0,0";"7,5";"4,40";"27,1";"";""
"15/01/2021";"1200";"22,3";"71,0";"886,7";"1,0";"320,0";"3,8";"";"";"17,2";"0,0"
"15/01/2021";"1800";"20,7";"83,0";"885,1";"6,0";"360,0";"8,8";"";"";"";""
"16/01/2021";"0000";"20,1";"90,0";"884,9";"0,0";"0,0";"7,0";"0,00";"22,9";"";""
"16/01/2021";"1200";"21,1";"81,0";"886,6";"0,0";"0,0";"9,0";"";"";"17,4";"0,2"
"16/01/2021";"1800";"19,0";"99,0";"884,9";"0,0";"0,0";"10,0";"";"";"";""
"17/01/2021";"0000";"17,9";"92,0";"884,7";"0,0";"0,0";"10,0";"1,60";"25,4";"";""
"17/01/2021";"1200";"21,3";"68,0";"887,1";"0,0";"0,0";"10,0";"";"";"17,1";"10,7"
"17/01/2021";"1800";"24,2";"66,0";"884,1";"1,0";"50,0";"10,0";"";"";"";""
"18/01/2021";"0000";"20,9";"83,0";"884,9";"0,0";"0,0";"8,8";"7,50";"28,0";"";""
"18/01/2021";"1200";"21,9";"78,0";"886,2";"3,0";"50,0";"7,0";"";"";"19,5";"0,0"
"18/01/2021";"1800";"27,2";"52,0";"884,0";"3,0";"50,0";"6,3";"";"";"";""
"19/01/2021";"0000";"23,0";"74,0";"884,9";"2,1";"50,0";"7,5";"10,70";"28,3";"";""
"19/01/2021";"1200";"23,2";"64,0";"887,4";"0,0";"0,0";"2,0";"";"";"18,2";"0,0"
"19/01/2021";"1800";"27,8";"44,0";"884,9";"5,0";"50,0";"2,0";"";"";"";""
"20/01/2021";"0000";"23,3";"57,0";"886,2";"0,0";"0,0";"1,3";"11,20";"28,7";"";""
"20/01/2021";"1200";"23,5";"61,0";"887,7";"3,0";"140,0";"3,8";"";"";"16,6";"0,0"
"20/01/2021";"1800";"28,0";"43,0";"885,3";"3,0";"50,0";"5,0";"";"";"";""
"21/01/2021";"0000";"23,4";"61,0";"885,8";"1,0";"140,0";"2,0";"8,80";"27,9";"";""
"21/01/2021";"1200";"24,1";"55,0";"887,3";"3,0";"140,0";"2,0";"";"";"19,2";"0,0"
"21/01/2021";"1800";"26,8";"43,0";"885,9";"4,0";"50,0";"7,0";"";"";"";""
"22/01/2021";"0000";"23,4";"53,0";"886,7";"1,0";"140,0";"0,0";"9,40";"28,5";"";""
"22/01/2021";"1200";"23,0";"55,0";"889,3";"6,0";"140,0";"3,8";"";"";"19,7";"0,0"
"22/01/2021";"1800";"27,3";"46,0";"887,5";"3,0";"140,0";"7,5";"";"";"";""
"23/01/2021";"0000";"22,8";"67,0";"888,3";"0,0";"0,0";"1,3";"11,30";"28,5";"";""
"23/01/2021";"1200";"22,7";"58,0";"889,4";"5,0";"50,0";"3,8";"";"";"18,7";"0,0"
"23/01/2021";"1800";"27,3";"40,0";"887,0";"3,0";"140,0";"3,8";"";"";"";""
"24/01/2021";"0000";"23,7";"54,0";"886,5";"3,0";"140,0";"1,3";"11,00";"29,5";"";""
"24/01/2021";"1200";"22,9";"61,0";"888,1";"3,0";"50,0";"7,0";"";"";"17,8";"0,0"
"24/01/2021";"1800";"28,9";"37,0";"885,4";"3,0";"140,0";"5,0";"";"";"";""
"25/01/2021";"0000";"23,6";"54,0";"884,7";"0,0";"0,0";"1,0";"8,00";"28,8";"";""
"25/01/2021";"1200";"23,5";"59,0";"887,0";"5,0";"50,0";"2,5";"";"";"16,9";"0,0"
"25/01/2021";"1800";"28,0";"43,0";"883,9";"0,0";"0,0";"7,5";"";"";"";""
"26/01/2021";"0000";"17,3";"91,0";"886,1";"0,0";"0,0";"8,8";"8,00";"28,5";"";""
"26/01/2021";"1200";"23,8";"62,0";"887,8";"3,0";"50,0";"3,8";"";"";"16,2";"72,5"
