"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2021";"0000";"23,6";"83,0";"950,4";"1,0";"140,0";"8,0";"7,20";"32,0";"";""
"01/01/2021";"1200";"24,8";"72,0";"950,7";"0,0";"0,0";"8,0";"";"";"21,4";"0,4"
"01/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"0000";"25,6";"82,0";"949,6";"0,0";"0,0";"7,0";"5,70";"32,0";"";""
"02/01/2021";"1200";"22,2";"87,0";"951,4";"0,0";"0,0";"7,0";"";"";"21,0";"0,2"
"02/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/01/2021";"0000";"26,2";"74,0";"946,4";"0,0";"0,0";"8,0";"";"";"";""
"03/01/2021";"1200";"";"";"";"";"";"";"";"";"";""
"03/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/01/2021";"0000";"";"";"";"";"";"";"";"31,0";"";""
"04/01/2021";"1200";"22,2";"72,0";"949,4";"1,0";"140,0";"5,0";"";"";"22,2";""
"04/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/01/2021";"0000";"25,2";"70,0";"947,8";"3,0";"320,0";"10,0";"3,00";"28,4";"";""
"05/01/2021";"1200";"23,0";"85,0";"949,5";"1,0";"50,0";"10,0";"";"";"21,0";"1,5"
"05/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/01/2021";"0000";"25,0";"76,0";"947,4";"1,0";"320,0";"8,0";"6,50";"32,0";"";""
"06/01/2021";"1200";"26,0";"75,0";"949,5";"1,0";"320,0";"10,0";"";"";"23,0";"1,8"
"06/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/01/2021";"0000";"25,0";"78,0";"947,2";"1,0";"320,0";"8,0";"5,20";"30,4";"";""
"07/01/2021";"1200";"26,2";"75,0";"949,9";"0,0";"0,0";"7,0";"";"";"22,0";"10,9"
"07/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/01/2021";"0000";"23,0";"95,0";"946,7";"1,0";"320,0";"10,0";"9,90";"32,0";"";""
"08/01/2021";"1200";"24,0";"86,0";"950,2";"0,0";"0,0";"8,0";"";"";"22,0";"4,3"
"08/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/01/2021";"0000";"26,4";"72,0";"947,8";"0,0";"0,0";"7,0";"5,00";"32,0";"";""
"09/01/2021";"1200";"24,2";"84,0";"948,7";"1,0";"140,0";"10,0";"";"";"21,8";"0,0"
"09/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"10/01/2021";"0000";"27,0";"79,0";"947,5";"0,0";"0,0";"6,0";"";"";"";""
"10/01/2021";"1200";"";"";"";"";"";"";"";"";"";""
"10/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/01/2021";"0000";"";"";"";"";"";"";"";"34,6";"";""
"11/01/2021";"1200";"26,0";"73,0";"950,6";"1,0";"140,0";"6,0";"";"";"26,0";""
"11/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/01/2021";"0000";"29,8";"65,0";"946,6";"0,0";"0,0";"0,0";"6,20";"34,6";"";""
