"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2021";"0000";"23,2";"88,0";"951,2";"2,0";"320,0";"10,0";"9,20";"29,8";"";""
"01/01/2021";"1200";"24,3";"83,0";"952,2";"1,0";"320,0";"10,0";"";"";"20,8";"0,0"
"01/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"0000";"25,9";"79,0";"949,9";"0,0";"0,0";"0,0";"9,80";"30,9";"";""
"02/01/2021";"1200";"25,3";"73,0";"951,8";"1,0";"50,0";"7,0";"";"";"21,5";"0,0"
"02/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/01/2021";"0000";"26,4";"73,0";"947,5";"0,0";"0,0";"0,0";"9,10";"30,7";"";""
"03/01/2021";"1200";"24,5";"68,0";"950,8";"2,0";"90,0";"3,0";"";"";"20,8";"0,2"
"03/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/01/2021";"0000";"26,9";"68,0";"947,4";"2,0";"90,0";"7,0";"10,00";"30,7";"";""
"04/01/2021";"1200";"24,5";"64,0";"949,6";"3,0";"90,0";"6,0";"";"";"19,6";"0,0"
"04/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/01/2021";"0000";"22,5";"89,0";"949,9";"4,0";"320,0";"10,0";"3,90";"29,4";"";""
"05/01/2021";"1200";"24,3";"81,0";"949,9";"2,0";"90,0";"8,0";"";"";"20,8";"0,4"
"05/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/01/2021";"0000";"24,7";"83,0";"949,0";"1,0";"50,0";"9,0";"6,20";"30,2";"";""
"06/01/2021";"1200";"23,5";"96,0";"950,8";"1,0";"320,0";"10,0";"";"";"21,6";"1,6"
"06/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/01/2021";"0000";"23,7";"90,0";"949,5";"1,0";"320,0";"5,0";"2,70";"27,5";"";""
"07/01/2021";"1200";"25,3";"84,0";"951,1";"1,0";"90,0";"7,0";"";"";"20,6";"0,6"
"07/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/01/2021";"0000";"23,5";"92,0";"949,8";"1,0";"320,0";"10,0";"10,70";"29,8";"";""
"08/01/2021";"1200";"24,9";"82,0";"951,0";"1,0";"320,0";"7,0";"";"";"21,0";"57,6"
"08/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/01/2021";"0000";"24,7";"80,0";"949,0";"1,0";"270,0";"2,0";"7,60";"31,0";"";""
"09/01/2021";"1200";"25,7";"77,0";"949,6";"2,0";"90,0";"7,0";"";"";"21,4";"0,0"
"09/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"10/01/2021";"0000";"27,1";"75,0";"948,6";"0,0";"0,0";"3,0";"7,60";"32,1";"";""
"10/01/2021";"1200";"27,1";"70,0";"951,2";"1,0";"50,0";"6,0";"";"";"22,7";"0,0"
"10/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/01/2021";"0000";"26,5";"74,0";"949,4";"1,0";"180,0";"2,0";"11,20";"32,6";"";""
"11/01/2021";"1200";"27,5";"69,0";"951,1";"2,0";"90,0";"3,0";"";"";"23,0";"0,0"
"11/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/01/2021";"0000";"28,5";"72,0";"947,4";"1,0";"140,0";"0,0";"7,60";"32,1";"";""
"12/01/2021";"1200";"28,7";"72,0";"950,6";"1,0";"90,0";"4,0";"";"";"24,3";"0,0"
"12/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"13/01/2021";"0000";"25,5";"74,0";"949,6";"4,0";"230,0";"9,0";"6,60";"31,4";"";""
"13/01/2021";"1200";"27,5";"68,0";"951,1";"3,0";"90,0";"8,0";"";"";"23,3";"0,8"
"13/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"14/01/2021";"0000";"24,0";"90,0";"949,6";"0,0";"0,0";"10,0";"7,70";"30,6";"";""
"14/01/2021";"1200";"26,5";"71,0";"951,0";"2,0";"90,0";"7,0";"";"";"22,4";"2,4"
"14/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"15/01/2021";"0000";"25,8";"76,0";"949,6";"2,0";"90,0";"7,0";"7,80";"30,5";"";""
"15/01/2021";"1200";"25,7";"72,0";"950,6";"3,6";"50,0";"8,0";"";"";"21,4";"0,0"
"15/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"16/01/2021";"0000";"25,0";"80,0";"946,6";"1,0";"50,0";"0,0";"0,00";"25,2";"";""
"16/01/2021";"1200";"21,4";"99,0";"948,2";"2,0";"50,0";"10,0";"";"";"21,1";"14,6"
"16/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"17/01/2021";"0000";"21,8";"95,0";"945,9";"1,0";"50,0";"10,0";"0,20";"26,7";"";""
"17/01/2021";"1200";"22,7";"96,0";"947,4";"2,0";"320,0";"10,0";"";"";"21,3";"36,1"
"17/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"18/01/2021";"0000";"22,1";"98,0";"946,3";"1,0";"50,0";"10,0";"0,20";"25,4";"";""
"18/01/2021";"1200";"22,9";"99,0";"948,3";"0,0";"0,0";"10,0";"";"";"21,4";"49,4"
"18/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"19/01/2021";"0000";"22,8";"99,0";"948,8";"0,0";"0,0";"10,0";"1,00";"27,7";"";""
"19/01/2021";"1200";"24,1";"90,0";"950,8";"1,0";"50,0";"10,0";"";"";"22,3";"17,3"
"19/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"20/01/2021";"0000";"22,6";"96,0";"950,7";"1,0";"90,0";"9,0";"0,00";"24,5";"";""
"20/01/2021";"1200";"22,5";"93,0";"952,2";"0,0";"0,0";"10,0";"";"";"20,8";"22,4"
"20/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"21/01/2021";"0000";"22,7";"97,0";"950,4";"1,0";"140,0";"10,0";"0,00";"24,9";"";""
"21/01/2021";"1200";"22,5";"87,0";"953,4";"0,0";"0,0";"10,0";"";"";"21,0";"31,1"
"21/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"22/01/2021";"0000";"23,6";"92,0";"952,0";"2,0";"140,0";"10,0";"0,10";"26,8";"";""
"22/01/2021";"1200";"21,7";"92,0";"954,0";"2,0";"140,0";"10,0";"";"";"20,2";"5,8"
"22/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"23/01/2021";"0000";"22,2";"89,0";"953,9";"2,0";"140,0";"4,0";"1,80";"30,5";"";""
"23/01/2021";"1200";"24,5";"74,0";"953,9";"2,0";"50,0";"10,0";"";"";"21,4";"0,0"
"23/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"24/01/2021";"0000";"21,9";"83,0";"952,3";"0,0";"0,0";"10,0";"1,00";"28,9";"";""
"24/01/2021";"1200";"22,4";"91,0";"952,0";"1,0";"90,0";"10,0";"";"";"20,0";"11,6"
"24/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"25/01/2021";"0000";"24,4";"81,0";"949,6";"1,0";"90,0";"6,0";"1,40";"28,2";"";""
"25/01/2021";"1200";"22,7";"87,0";"951,4";"0,0";"0,0";"10,0";"";"";"20,6";"0,0"
"25/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"26/01/2021";"0000";"20,8";"95,0";"950,3";"1,0";"140,0";"10,0";"3,20";"29,2";"";""
"26/01/2021";"1200";"24,1";"82,0";"950,6";"0,0";"0,0";"9,0";"";"";"19,8";"3,3"
"26/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"27/01/2021";"0000";"25,7";"81,0";"948,3";"1,0";"50,0";"4,0";"1,10";"27,4";"";""
"27/01/2021";"1200";"25,1";"80,0";"949,9";"0,0";"0,0";"8,0";"";"";"21,8";"0,1"
"27/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"28/01/2021";"0000";"23,0";"78,0";"948,8";"1,0";"270,0";"7,0";"3,40";"29,0";"";""
"28/01/2021";"1200";"23,5";"90,0";"949,6";"1,0";"360,0";"10,0";"";"";"21,4";"1,3"
"28/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
"29/01/2021";"0000";"22,1";"98,0";"948,6";"1,0";"50,0";"10,0";"2,40";"29,8";"";""
"29/01/2021";"1200";"23,0";"93,0";"949,8";"1,0";"320,0";"10,0";"";"";"21,4";"41,8"
"29/01/2021";"1800";"";"";"";"";"";"";"";"";"";""
