"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2021";"0000";"23,1";"62,0";"902,5";"2,1";"140,0";"0,0";"6,20";"27,8";"";""
"01/01/2021";"1200";"20,7";"76,0";"904,9";"3,1";"140,0";"8,8";"";"";"18,3";"0,0"
"01/01/2021";"1800";"27,4";"51,0";"902,4";"3,1";"140,0";"5,0";"";"";"";""
"02/01/2021";"0000";"22,8";"67,0";"902,8";"2,1";"140,0";"2,5";"8,50";"25,2";"";""
"02/01/2021";"1200";"23,1";"69,0";"903,2";"3,1";"140,0";"5,0";"";"";"18,1";"0,0"
"02/01/2021";"1800";"24,9";"65,0";"901,0";"3,1";"140,0";"7,5";"";"";"";""
"03/01/2021";"0000";"21,8";"79,0";"901,3";"2,1";"140,0";"0,0";"4,60";"27,0";"";""
"03/01/2021";"1200";"19,6";"87,0";"902,8";"4,1";"140,0";"10,0";"";"";"18,3";"0,0"
"03/01/2021";"1800";"26,6";"56,0";"900,4";"3,1";"140,0";"6,3";"";"";"";""
"04/01/2021";"0000";"22,0";"71,0";"901,2";"3,1";"140,0";"0,0";"5,20";"27,6";"";""
"04/01/2021";"1200";"20,2";"82,0";"903,6";"3,1";"140,0";"10,0";"";"";"18,3";"0,0"
"04/01/2021";"1800";"27,2";"49,0";"901,9";"4,1";"140,0";"5,0";"";"";"";""
"05/01/2021";"0000";"21,7";"70,0";"902,8";"2,1";"140,0";"0,0";"6,40";"28,2";"";""
"05/01/2021";"1200";"21,4";"70,0";"904,7";"5,1";"140,0";"8,8";"";"";"17,9";"0,0"
"05/01/2021";"1800";"27,8";"49,0";"901,7";"5,1";"140,0";"5,0";"";"";"";""
"06/01/2021";"0000";"22,9";"65,0";"902,8";"2,1";"140,0";"0,0";"9,70";"29,0";"";""
"06/01/2021";"1200";"21,6";"71,0";"904,4";"3,1";"140,0";"6,3";"";"";"18,2";"0,0"
"06/01/2021";"1800";"28,6";"37,0";"900,8";"4,1";"140,0";"3,8";"";"";"";""
"07/01/2021";"0000";"22,1";"60,0";"902,8";"2,1";"140,0";"0,0";"9,20";"31,0";"";""
"07/01/2021";"1200";"20,4";"76,0";"904,4";"3,1";"140,0";"8,8";"";"";"18,0";"0,0"
"07/01/2021";"1800";"30,6";"34,0";"900,7";"3,1";"140,0";"2,5";"";"";"";""
"08/01/2021";"0000";"23,0";"56,0";"901,7";"0,0";"0,0";"0,0";"9,80";"31,6";"";""
"08/01/2021";"1200";"22,8";"71,0";"904,3";"4,1";"140,0";"6,3";"";"";"19,3";"0,0"
"08/01/2021";"1800";"31,2";"36,0";"900,1";"3,1";"140,0";"3,8";"";"";"";""
"09/01/2021";"0000";"24,4";"59,0";"900,7";"2,1";"140,0";"0,0";"10,20";"30,6";"";""
"09/01/2021";"1200";"23,5";"70,0";"903,1";"3,1";"140,0";"7,5";"";"";"19,0";"0,0"
"09/01/2021";"1800";"30,0";"43,0";"899,5";"3,1";"140,0";"6,3";"";"";"";""
"10/01/2021";"0000";"24,3";"61,0";"901,0";"2,1";"140,0";"0,0";"10,10";"31,0";"";""
"10/01/2021";"1200";"24,1";"68,0";"903,9";"4,1";"140,0";"6,3";"";"";"20,6";"0,0"
"10/01/2021";"1800";"30,4";"45,0";"900,0";"4,1";"140,0";"3,8";"";"";"";""
"11/01/2021";"0000";"24,4";"67,0";"902,3";"2,1";"140,0";"0,0";"10,20";"31,0";"";""
"11/01/2021";"1200";"23,6";"72,0";"904,0";"4,1";"140,0";"5,0";"";"";"20,1";"0,0"
"11/01/2021";"1800";"30,5";"43,0";"900,2";"4,1";"140,0";"3,8";"";"";"";""
"12/01/2021";"0000";"24,2";"66,0";"902,1";"2,1";"140,0";"0,0";"10,30";"31,6";"";""
"12/01/2021";"1200";"24,4";"68,0";"903,7";"3,1";"140,0";"3,8";"";"";"20,2";"0,0"
"12/01/2021";"1800";"31,2";"43,0";"899,8";"4,1";"140,0";"6,3";"";"";"";""
"13/01/2021";"0000";"23,5";"70,0";"901,7";"4,1";"140,0";"0,0";"7,80";"30,8";"";""
"13/01/2021";"1200";"21,9";"84,0";"904,4";"4,1";"140,0";"8,8";"";"";"18,8";"0,0"
"13/01/2021";"1800";"30,2";"44,0";"900,8";"4,1";"140,0";"5,0";"";"";"";""
"14/01/2021";"0000";"24,2";"64,0";"901,7";"5,1";"140,0";"6,3";"4,30";"26,4";"";""
"14/01/2021";"1200";"21,9";"70,0";"903,8";"5,1";"140,0";"7,5";"";"";"18,7";"0,0"
"14/01/2021";"1800";"25,8";"56,0";"901,5";"3,1";"140,0";"8,8";"";"";"";""
"15/01/2021";"0000";"22,4";"67,0";"902,4";"2,1";"140,0";"0,0";"3,60";"25,0";"";""
"15/01/2021";"1200";"21,4";"75,0";"902,8";"4,1";"140,0";"8,8";"";"";"18,7";"0,0"
"15/01/2021";"1800";"24,2";"68,0";"900,5";"4,1";"140,0";"8,8";"";"";"";""
"16/01/2021";"0000";"21,1";"87,0";"902,1";"5,1";"140,0";"8,8";"7,10";"26,8";"";""
"16/01/2021";"1200";"20,4";"90,0";"902,7";"3,1";"140,0";"8,8";"";"";"18,3";"13,7"
"16/01/2021";"1800";"26,4";"60,0";"900,6";"4,1";"140,0";"6,3";"";"";"";""
"17/01/2021";"0000";"21,0";"84,0";"902,0";"3,1";"140,0";"0,0";"8,00";"27,4";"";""
