"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"16,5";"17,2";"16,5";"87,0";"87,0";"78,0";"14,3";"14,6";"13,3";"856,7";"856,8";"856,5";"1,3";"61,0";"3,4";"";"0,0"
"01/01/2022";"0100";"16,3";"16,5";"15,9";"82,0";"87,0";"82,0";"13,2";"14,3";"13,1";"857,2";"857,2";"856,6";"1,3";"48,0";"2,6";"";"0,0"
"01/01/2022";"0200";"16,2";"16,4";"16,0";"81,0";"83,0";"81,0";"13,0";"13,3";"12,8";"857,2";"857,3";"857,1";"1,2";"33,0";"3,0";"";"0,0"
"01/01/2022";"0300";"14,9";"16,3";"14,9";"83,0";"83,0";"78,0";"12,0";"13,0";"11,8";"856,9";"857,2";"856,9";"0,4";"318,0";"2,2";"";"0,0"
"01/01/2022";"0400";"14,9";"15,2";"14,3";"88,0";"89,0";"83,0";"12,9";"13,0";"11,9";"856,3";"856,9";"856,3";"0,3";"332,0";"1,3";"";"0,0"
"01/01/2022";"0500";"14,2";"15,3";"14,1";"89,0";"89,0";"85,0";"12,4";"12,9";"12,1";"855,7";"856,3";"855,7";"0,9";"332,0";"1,9";"";"0,0"
"01/01/2022";"0600";"14,1";"14,9";"13,9";"93,0";"93,0";"88,0";"13,0";"13,2";"12,3";"855,3";"855,7";"855,3";"1,2";"329,0";"2,5";"";"0,0"
"01/01/2022";"0700";"13,6";"14,2";"13,5";"96,0";"96,0";"93,0";"13,0";"13,3";"12,8";"855,4";"855,4";"855,2";"1,4";"332,0";"2,8";"";"0,0"
"01/01/2022";"0800";"13,4";"13,6";"13,1";"98,0";"98,0";"96,0";"13,1";"13,1";"12,5";"855,7";"855,7";"855,4";"1,2";"339,0";"3,0";"";"0,0"
"01/01/2022";"0900";"13,1";"13,4";"13,1";"98,0";"98,0";"98,0";"12,8";"13,0";"12,8";"856,4";"856,4";"855,7";"1,4";"335,0";"3,1";"50,20";"0,0"
"01/01/2022";"1000";"13,3";"13,8";"12,9";"98,0";"98,0";"98,0";"13,1";"13,5";"12,7";"857,1";"857,1";"856,4";"1,0";"326,0";"2,8";"490,80";"0,0"
"01/01/2022";"1100";"16,2";"16,3";"13,2";"98,0";"98,0";"98,0";"15,9";"16,0";"13,0";"857,5";"857,5";"857,1";"0,7";"340,0";"1,9";"1546,50";"0,0"
"01/01/2022";"1200";"20,5";"20,5";"16,1";"55,0";"98,0";"55,0";"11,0";"17,2";"11,0";"857,6";"857,7";"857,5";"1,2";"304,0";"2,7";"2425,90";"0,0"
"01/01/2022";"1300";"22,2";"23,0";"20,5";"44,0";"57,0";"43,0";"9,4";"11,8";"8,7";"857,7";"857,7";"857,5";"1,5";"203,0";"4,0";"3138,50";"0,0"
"01/01/2022";"1400";"23,9";"23,9";"22,2";"38,0";"46,0";"35,0";"8,6";"10,0";"6,4";"857,5";"857,7";"857,5";"1,2";"167,0";"4,0";"3699,50";"0,0"
"01/01/2022";"1500";"23,9";"25,0";"23,6";"39,0";"41,0";"34,0";"9,3";"10,0";"7,3";"857,4";"857,6";"857,3";"1,7";"142,0";"5,1";"4004,80";"0,0"
"01/01/2022";"1600";"26,5";"26,5";"23,3";"35,0";"42,0";"32,0";"9,7";"11,2";"7,1";"857,1";"857,5";"857,0";"1,9";"199,0";"4,8";"3553,10";"0,0"
"01/01/2022";"1700";"26,1";"27,2";"23,8";"29,0";"39,0";"28,0";"6,8";"10,4";"6,4";"856,7";"857,1";"856,7";"1,7";"197,0";"5,3";"3357,90";"0,0"
"01/01/2022";"1800";"26,6";"27,7";"26,0";"28,0";"30,0";"25,0";"6,4";"8,1";"5,8";"856,3";"856,7";"856,3";"2,0";"228,0";"4,4";"3665,90";"0,0"
"01/01/2022";"1900";"26,8";"27,8";"25,3";"30,0";"32,0";"27,0";"7,9";"9,1";"6,3";"855,9";"856,3";"855,9";"1,4";"193,0";"4,2";"2473,30";"0,0"
"01/01/2022";"2000";"26,3";"27,2";"24,3";"45,0";"51,0";"30,0";"13,5";"13,8";"7,3";"855,3";"855,9";"855,3";"1,7";"173,0";"4,5";"1398,20";"0,0"
"01/01/2022";"2100";"23,7";"26,3";"23,5";"58,0";"58,0";"45,0";"14,9";"14,9";"13,5";"855,6";"855,6";"855,2";"2,9";"95,0";"5,3";"1196,40";"0,0"
